1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
42	-0.342521	0.000000	16.673364	0.004658	1.0
43	-0.328543	0.959351	15.944945	0.007523	0.9
44	-0.324911	1.959346	15.250463	0.006902	0.9
45	-0.341708	2.959344	14.613950	0.009066	1.0
46	-0.323081	3.941992	14.038199	0.004427	1.0
47	-0.319461	4.941931	13.497093	0.002338	0.9
48	-0.339031	4.516871	13.721927	0.005374	0.9
49	-0.348125	4.123040	13.937033	0.009388	1.0
50	-0.329047	4.398695	13.785773	0.003450	0.9
51	-0.343832	5.398693	13.263560	0.009624	1.0
52	-0.325647	4.882892	13.527879	0.004500	0.9
53	-0.332663	4.367170	13.802906	0.004891	0.9
54	-0.326721	5.367151	13.279427	0.011379	1.0
55	-0.343395	4.851318	13.544402	0.009219	1.0
56	-0.318095	5.851318	13.039980	0.012997	1.0
57	-0.335072	5.336833	13.294714	0.005764	1.0
58	-0.305198	6.336312	12.808628	0.004137	1.0
59	-0.318980	5.820479	13.054974	0.005231	1.0
60	-0.334548	6.808253	12.591250	0.009574	1.1
61	-0.343860	6.292419	12.829227	0.007724	0.9
62	-0.347043	5.776586	13.076374	0.011074	0.9
63	-0.329580	5.966597	12.984236	0.009258	0.9
64	-0.316369	6.966597	12.519959	0.003112	0.9
65	-0.334678	7.810311	12.153310	0.004775	0.9
66	-0.344144	7.478866	12.294754	0.009588	0.9
67	-0.349470	7.079405	12.469661	0.008300	0.9
68	-0.332302	8.071722	12.044029	0.003358	0.9
69	-0.342933	9.058268	11.648730	0.005447	0.9
70	-0.346145	8.551921	11.848321	0.009234	0.9
71	-0.318584	8.113559	12.026721	0.009846	0.9
72	-0.343458	9.113559	11.627342	0.007317	1.0
73	-0.324069	10.111039	11.254547	0.004789	0.9
74	-0.338057	9.595267	11.444275	0.006849	1.0
75	-0.343131	9.267008	11.568393	0.005697	0.9
76	-0.329382	8.751175	11.768969	0.006433	0.9
77	-0.348166	9.751175	11.386253	0.006339	0.9
78	-0.331899	10.747497	11.028922	0.010134	1.0
79	-0.328745	11.747497	10.692135	0.004699	1.0
80	-0.338182	11.231919	10.863165	0.006231	0.9
81	-0.326028	10.738560	11.032027	0.008185	0.9
82	-0.335003	11.738556	10.695055	0.005019	1.0
83	-0.329982	12.727964	10.381316	0.005808	1.0
84	-0.335713	12.212140	10.542550	0.009332	1.0
85	-0.332315	12.870074	10.337759	0.003236	1.0
86	-0.347115	12.355656	10.497190	0.005842	1.0
87	-0.337664	13.106997	10.265948	0.008162	0.9
88	-0.327211	14.106941	9.973545	0.002395	1.0
89	-0.345403	13.887885	10.036167	0.007740	1.0
90	-0.335622	14.405351	9.889484	0.008080	0.9
91	-0.336106	13.890884	10.035305	0.006412	0.9
92	-0.343309	14.860866	9.763865	0.008551	0.9
93	-0.329962	14.345034	9.906361	0.008793	0.9
94	-0.324451	13.829200	10.053078	0.003755	0.9
95	-0.352765	13.427013	10.170521	0.009634	0.9
96	-0.337562	14.427013	9.883437	0.005817	0.9
97	-0.349877	13.911180	10.029471	0.006477	1.0
98	-0.327133	13.406359	10.176626	0.006241	0.9
99	-0.346040	14.406311	9.889216	0.007528	0.9
100	-0.351764	13.890477	10.035422	0.006731	1.0
101	-0.334412	13.374644	10.186015	0.006489	0.9
102	-0.328449	12.883480	10.333668	0.009067	0.9
103	-0.325759	12.368605	10.493116	0.005633	0.9
104	-0.328261	11.852791	10.657866	0.003621	0.9
105	-0.338277	11.337669	10.827640	0.006102	1.0
106	-0.339575	10.832389	10.999509	0.008690	0.9
107	-0.346438	11.201648	10.873377	0.007864	0.9
108	-0.342638	10.685814	11.050391	0.011091	0.9
109	-0.319109	11.685814	10.712312	0.005835	0.9
110	-0.337947	11.169981	10.884080	0.005855	0.9
111	-0.320234	10.654149	11.061446	0.007969	0.9
112	-0.335916	10.331935	11.175200	0.005206	0.9
113	-0.330145	9.816109	11.362260	0.007088	0.9
114	-0.342237	9.326839	11.545570	0.006465	0.9
115	-0.335106	8.811006	11.745349	0.005239	0.9
116	-0.352812	8.313707	11.944605	0.004739	1.0
117	-0.345583	9.125796	11.622619	0.003690	0.9
118	-0.345121	8.610124	11.825031	0.008338	0.9
119	-0.329341	9.609241	11.439051	0.007684	0.9
120	-0.322522	9.093407	11.635128	0.008486	0.9
121	-0.335790	8.577577	11.838044	0.006586	0.9
122	-0.342391	8.062305	12.047931	0.005159	1.0
123	-0.337735	9.061786	11.647367	0.005503	0.9
124	-0.349260	8.545998	11.850696	0.008167	0.9
125	-0.335230	9.545956	11.462750	0.006256	1.0
126	-0.337345	10.533191	11.103876	0.009335	0.9
127	-0.344181	11.533191	10.762567	0.006501	0.9
128	-0.350591	12.275539	10.522464	0.004927	0.9
129	-0.334820	11.762111	10.687365	0.006047	0.9
130	-0.326208	11.246278	10.858328	0.006071	0.9
131	-0.329463	12.246270	10.531727	0.005683	0.9
132	-0.342700	13.246262	10.224201	0.006216	1.0
133	-0.329356	13.271049	10.216806	0.010706	0.9
